影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
美容针,黄美娜,黄美娜,闫妮;杜天皓;宋伊人;赵毅新;张亦驰;宗晓军,喜剧;爱情,中国大陆,汉语普通话,2017-05-19(中国大陆)
提着心吊着胆,李雨禾,李雨禾,陈玺旭;高叶;任素汐;董博;楼云飞;耿一正;曹瑞;陈春生;徐子力,剧情;喜剧;悬疑;犯罪,中国大陆,汉语普通话,2017-05-12(中国大陆);2016-06-17(上海国际电影节)
麻烦家族,黄磊,黄磊;山田洋次;平松惠美子,黄磊;海清;王迅;李立群;孙莉;魏大勋;张伟欣;任容萱;何炅;岳云鹏;孟非;闫妮;英达,喜剧;家庭,中国大陆,汉语普通话,2017-05-11(中国大陆)
记忆大师,陈正道,任鹏;陈正道,黄渤;段奕宏;徐静蕾;杨子姗;梁杰理;许玮甯;王真儿;焦刚;张念骅;杜函梦;栾元晖;曹英睿,剧情;悬疑;惊悚;犯罪,中国大陆,汉语普通话,2017-04-28(中国大陆);2017-04-23(北京电影节)
喜欢你,许宏宇,李媛;许伊萌;蓝白色,金城武;周冬雨;孙艺洲;奚梦瑶;杨祐宁;张国柱;高晓松;林志玲;赵英俊;海佟,喜剧;爱情,中国大陆,汉语普通话,2017-04-27(中国大陆);2017-04-08(北京电影节)
报告老师！怪怪怪怪物！,九把刀,九把刀,邓育凯;蔡凡熙;陈珮骐;刘奕儿;林姵妡;赖浚程;陶柏萌;梁洳瑄;乾德门;布鲁斯;蔡昌宪;宋芸桦;柯震东;侯彦西,剧情;恐怖,台湾,汉语普通话,2017-04-23(香港电影节);2017-07-28(台湾)
梦回少年时,黄超,张君实;李天宇,王贤;景乐,爱情;同性;奇幻,中国大陆,汉语普通话,2017-04-22(中国大陆)
熟悉的陌生人,陈正道,宋譞;卢青雨,王真儿;包贝尔;苏鑫;张沙沙,剧情,中国大陆,汉语普通话,2017-04-21(中国大陆)
神秘家族,朴裕焕,朴裕焕,林依晨;姜武;陈晓;惠英红;蓝正龙;安琥;张岫云;楼学贤;郭耀仁;王道南;马国华;陈万号;张哲豪;林柔君;刘芷凌;杜知晨,剧情;悬疑;犯罪,中国大陆 / 台湾 / 韩国,汉语普通话,2017-04-21(中国大陆)
窦娥奇冤,杨真,李以省,王力可;邱心志;杨昆;田重;刘挺;龚轶;肖天;王浩男,剧情;动作;悬疑,中国大陆,汉语普通话,2017-04-21(中国大陆)
血狼犬,刘建华,刘夏,黄宏;刘向京;赵婷婷;孙涛;王海燕;肥龙;朱琳;秦艺伟;党晨,剧情;动作;冒险,中国大陆,汉语普通话,2017-04-21(中国大陆)
傲娇与偏见,李海蜀;黄彦威,李海蜀;黄彦威;媚媚猫;张秀洁;韩瑞;马月红,迪丽热巴;张云龙;高伟光;金晨;马薇薇;范湉湉;披拉·尼迪裴善官;周海媚;樊野;李彧,喜剧;爱情,中国大陆,汉语普通话,2017-04-20(中国大陆)
指甲刀人魔,关智耀,陆以心;端端;游凯媛,周冬雨;张孝全;纳豆;林辰唏;蔡洁;盛朗熙;郑伊健;谢依霖;许玮甯,喜剧;爱情,中国大陆 / 香港,汉语普通话,2017-04-14(中国大陆);2017-04-11(北京电影节)
爱情冻住了,傅天余,傅天余,林依晨;凤小岳;程予希;詹怀云;金燕玲;吴念真;李烈;王宥胜;黄镫辉;柯有伦;谢盈萱;路嘉欣;邱翊橙,喜剧;爱情,台湾,汉语普通话,2017-04-14(中国大陆);2016-09-23(台湾)
海角有个五店市,张柏瑞,李小莹;张柏瑞;贾小静,王德顺;李纯;班杰;胡小玲,剧情;爱情,中国大陆,汉语普通话,2017-04-07(中国大陆)
有完没完,王啸坤,杨曼珠,范伟;贾静雯;刘俊昊;隋凯;宋阳;范湉湉;林更新;薛之谦;赵英俊;孔连顺;刘长生;于笑;李俊豪;柴蔚;张美娥;徐小溢;陈维涵;史耀中;肥龙;马洪磊;宋祖儿,剧情;喜剧,中国大陆,汉语普通话,2017-04-01(中国大陆)
嫌疑人X的献身,苏有朋,李佳颖;黄海;苌江;王潮;迟海;冯元良;东野圭吾,王凯;张鲁一;林心如;叶祖新;丁冠森;邓恩熙;成泰燊;赵阳;侯明昊;焉栩嘉;任熙青;李炳易;李宏;赵燕国彰,悬疑;犯罪,中国大陆,汉语普通话,2017-03-31(中国大陆)
绑架者,徐静蕾;杨翌舒,徐静蕾;杨翌舒,白百何;黄立行;明道;李淳;李玖哲;徐静蕾;梁天,动作;犯罪,中国大陆 / 台湾 / 香港,汉语普通话,2017-03-31(中国大陆)
非凡任务,麦兆辉;潘耀明,庄文强,黄轩;段奕宏;郎月婷;祖锋;邢佳栋;王耀庆;王砚辉;丁勇岱;肖聪;李晓川;赵炳锐;代乐乐;陶海,剧情;动作;犯罪,中国大陆,汉语普通话,2017-03-31(中国大陆)
八月,张大磊,张大磊,孔维一;张晨;郭燕芸,剧情,中国大陆,汉语普通话,2017-03-24(中国大陆);2016-07-23(FIRST青年影展)
魔游纪1：盘古之心,回宇,左曌阳;杨海涛;李聪丛,卢宇静;于磊;余浩瑞;崔璨;阳蕾;郑欣雨;李彩瑞,剧情;动作;奇幻;冒险;古装,中国大陆,汉语普通话,2017-03-17(中国大陆)
夜色撩人,夏钢,孟朱;须一瓜,王千源;余男;南宫珉;潘斌龙,剧情;悬疑;犯罪,中国大陆,汉语普通话,2017-03-10(中国大陆)
我的上高,钱泠泠,方天民,田小洁;耿黎明;易勇名;朴俊铭;张宇飞,剧情;战争,中国大陆,汉语普通话,2017-03-08(中国大陆)
最后的诗句,曾英庭,曾英庭;施虹如,傅孟柏;温贞菱;黄迪扬;姚以缇;高群;高盟杰;高英轩,剧情;爱情,台湾,汉语普通话,2017-03-04(台湾)
鬼话怪谈·祥云寺,刘轩狄,崔走召,彭禺厶;陈玉勇,惊悚;恐怖,中国大陆,汉语普通话,2017-02-24(中国大陆)
合约男女,刘国楠,田晓威;朱珠,郑秀文;张孝全;林雪;冯文娟;弦子;金巧巧;尹子维;李茂;徐冬冬,喜剧;爱情,中国大陆,汉语普通话,2017-02-14(中国大陆)
决战食神,叶伟民,文隽,葛优;谢霆锋;唐嫣;郑容和;白冰;杜海涛;王太利;黄秋生;詹瑞文;海鸣威;罗兰,剧情;动作,中国大陆 / 香港,汉语普通话,2017-02-10(中国大陆)
游戏规则,高希希,高希希,何润东;黄子韬;古力娜扎;王学圻;秋瓷炫;高捷;师鹏,剧情;动作,中国大陆,汉语普通话,2017-02-10(中国大陆)
萤火奇兵,邓伟锋,邓伟锋,山新;姚雷;郭盛;李姗姗;张圣;邓伟锋;宋明;陈喆,喜剧;动画;奇幻;冒险,中国大陆,汉语普通话,2017-02-05(中国大陆)
东北往事之破马张飞,郭大雷,郭大雷;熊嘉南;郭渊敏;吴中全;刘宇,贾乃亮;马丽;王迅;梁超;于洋;屈菁菁;九孔;刘慧;金士杰;曾志伟;李小璐;贾云馨,喜剧;动作,中国大陆,汉语普通话,2017-02-03(中国大陆)
大梦西游2铁扇公主,谭俏,覃翘,谢苗;黄一琳;李夏佩;九孔;马京京;吴毅将;赵铁英;金雅娜,剧情;动作;奇幻,中国大陆,汉语普通话,2017-01-30(中国大陆)
乘风破浪,韩寒,韩寒,邓超;彭于晏;赵丽颖;董子健;金士杰;易小星;张本煜;李荣浩;高华阳;李淳;孙伊涵;熊黎;李春嫒;潘米;小马达;金毛期期;孙启恒;孙强;彭菲茗;贾川西;张国庆;程诚;白珞力;方励;郭佳杰;冷海铭,剧情;喜剧,中国大陆,汉语普通话,2017-01-28(中国大陆)
健忘村,陈玉勋,陈玉勋;张耀升,舒淇;王千源;张孝全;曾志伟;杨祐宁;张少怀;许杰辉;林美秀;顾宝明;陈竹昇;柯宇纶;黄健玮,剧情;喜剧;奇幻;古装,中国大陆 / 台湾,汉语普通话,2017-01-28(中国大陆)
熊出没·奇幻空间,林永长;林汇达;丁亮,崔铁志;万秦;徐芸,尚雯婕;鲍春来;孙建宏;曾舜晞,动画;儿童,中国大陆,汉语普通话,2017-01-28(中国大陆)
西游伏妖篇,徐克,周星驰;李思臻,吴亦凡;林更新;姚晨;林允;包贝尔;巴特尔;杨一威;大鹏;王丽坤;汪铎;张美娥,喜剧;动作;奇幻;古装,中国大陆 / 香港,汉语普通话,2017-01-28(中国大陆)
少年巴比伦,相国强,陈建忠;路内,董子健;李梦;尚铁龙;李大光;唐小然;张陆;杨皓宇;刘惠;宫海滨;李洋;付强;刘忠哲;刘思博;田旭东;张楠;李思宁;鲁野;高浩元;佟磊,剧情;喜剧;爱情,中国大陆,汉语普通话,2017-01-13(中国大陆);2015-06-18(上海电影节)
大卫贝肯之倒霉特工熊,李清舫,,汤水雨;徐佳琦;杨默,喜剧;动画;家庭;冒险,中国大陆,汉语普通话,2017-01-13(中国大陆)
小戏骨：花木兰,袁慧玲;邹江,路娟娟,刘戴恩;陈禹衡;李欣怡;彭楚雅;周艺;肖杨博涵;梁博涵;葛奕德;周冉;杨旻奎;李俊豪;程佳康;刘紫璇;杨雅清;周柯伊;刘沐清奇;夏乾喆;杨纳娜;秦舒言;韩蕙羽;姚奥依;欧阳瑞棋,剧情;歌舞;儿童;战争,中国大陆,汉语普通话,2017-01-09(中国大陆)
猪猪侠之英雄猪少年,陆锦明;钟裕,王晓莉;陈业峰,易烊千玺;陈轶;张子琨;戎妍;庄承松;李泰承;刘青阳;陈志荣,喜剧;动画;奇幻,中国大陆,汉语普通话,2017-01-07(中国大陆)
一万公里的约定,洪昇扬,洪昇扬;陈嘉蔚,赖雅妍;黄远;程予希;王大陆;周杰伦,剧情,台湾,汉语普通话,2017-01-06(中国大陆);2016-10-07(台湾)
你好，疯子！,饶晓志,饶晓志;雷志龙,万茜;周一围;王自健;金士杰;李虹辰;莫小棋;刘亮佐;曹卫宇,剧情;喜剧;悬疑,中国大陆,汉语普通话,2016-12-30(中国大陆)
情圣,宋晓飞;董旭,李潇;于淼,肖央;闫妮;小沈阳;乔杉;艾伦;代乐乐;常远;李成敏;车晓;田雨;邓超;王迅;周晓鸥;赵英俊;岳小军;徐冬冬;杨成成;钟鹿纯;曹汉超,喜剧,中国大陆,汉语普通话,2016-12-30(中国大陆)
那年夏天你去了哪里,周隼,周隼,宋佳;林家栋;颜卓灵;胡歌,悬疑,中国大陆 / 香港,汉语普通话,2016-12-30(中国大陆)
冒牌卧底,唐旭,唐旭,潘粤明;高圣远;常远;吴樾;谭凯;林鹏;金士杰,喜剧;犯罪;冒险,中国大陆,汉语普通话,2016-12-29(中国大陆)
溺水小刀,山户结希,山户结希;井土纪州;乔治朝仓,小松菜奈;菅田将晖;重冈大毅;上白石萌音;志磨辽平;齐藤阳一郎;岭豪一;伊藤步梦;堀内正美;市川实和子;五十岚信次郎,剧情;爱情,日本,日语,2016-11-05(日本)
请和我的妻子结婚,三宅喜重,金子亚里纱;樋口卓治,织田裕二;吉田羊;原田泰造;高岛礼子;込江海翔;森宽和;真岛秀和;佐藤亚璃纱;前川泰之;大塚千弘;小堺一机;大杉涟,剧情;喜剧;家庭,日本,日语,2016-11-05(日本)
蜡笔小新：梦境世界大突击,高桥涉,剧团一人;高桥涉,矢岛晶子;楢桥美纪;藤原启治;兴梠里美,喜剧;动画,日本,日语,2016-11-04(中国大陆);2016-04-16(日本)
我的叔叔,山下敦弘,须藤泰司;北杜夫,松田龙平;真木阳子;大西利空;户次重幸;寺岛忍;宫藤官九郎;木村绿子;银粉蝶;户田惠梨香,喜剧;家庭,日本,日语,2016-11-03(日本)
生日卡片,吉田康弘,吉田康弘,桥本爱;中村苍;须贺健太;中山裕介;宫崎葵;安藤玉惠;木村多江;黑田大辅;清水伸;田中圭;洞口依子;谷原章介;新津知世;筱川桃音,剧情;爱情,日本,日语,2016-10-22(日本);2017-03-31(台湾)
暗金丑岛君：完结篇,山口雅俊,福间正浩;山口雅俊,山田孝之;绫野刚;永山绚斗;真飞圣;间宫祥太朗;海;最上摩卡;真野惠里菜;太贺;狩野见恭兵;凑莉久;天使萌;槙田雄司;玉城蒂娜;六角精儿;茂吕师冈;安藤政信;八岛智人;高桥玛莉润;崎本大海;矢部享佑,喜剧,日本,日语,2016-10-22(日本)
金牌男人,内村光良,内村光良,内村光良;知念侑李;木村多江;室毅;土屋太凤;平泉成;宫崎美子;笑福亭鹤瓶;大西利空;大泉洋;上白石萌歌;大友花恋;笹野友间;音尾琢真;清野菜名;竹中直人;田中直树;长泽雅美;加藤谅;柄本时生;山崎纮菜;森川葵;中山裕介;槙田雄司;手塚通;高岛政宏;温水洋一,喜剧,日本,日语,2016-10-22(日本)
龙珠Z：复活的弗利萨,山室直儀,鸟山明,野泽雅子;中尾隆圣;山寺宏一;森田成一;堀川亮;佐藤正之;鹤广美;田中真弓;古川登志夫;草尾毅;绿川光;皆口裕子,动画,日本,日语,2016-10-21(中国大陆);2015-04-18(日本)
杀戮都市：O,佐藤敬一;川村泰,黑岩勉,小野大辅;市道真央;郭智博;早见沙织;池田秀一;津嘉山正种;小野坂昌也;津田健次郎;小川辉晃;吉田尚纪;梶裕贵,动作;科幻;动画,日本,日语,2016-10-14(日本)
早安秀,君塚良一,君塚良一,中井贵一;长泽雅美;志田未来;时任三郎;吉田羊;滨田岳;松重丰;池内博之;林遣都;梶原善;木南晴夏;大东骏介,喜剧,日本,日语,2016-10-08(日本)
热血街区电影版2：红雨篇,山口雄大,松田裕子;牧野圭祐;平沼纪久;渡辺啓,田崎敬浩;登坂广臣;斋藤工;吉本实忧;岩田刚典;铃木伸之;町田启太;山下健二郎;佐藤宽太;佐藤大树;藤井萩花;坂东希;滨田龙臣;小野寺晃良;吉泽太阳;中井乃绘美;石黑贤;中村达也;早乙女太一;渡边纮平;三浦诚己;小木茂光;片冈礼子;矢野浩二;近江谷太朗;长谷川初范;饭岛直子;岩城滉一,动作,日本,日语,2016-10-08(日本)
父亲与伊藤先生,棚田由纪,黑泽久子;中泽日菜子,上野树里;中川雅也;藤龙也;长谷川朝晴;安藤圣;渡边绘里,剧情;喜剧;家庭,日本,日语,2016-10-08(日本)
恶魔蛙男,大友启史,大友启史;高桥泉;藤井清美;巴亮介,小栗旬;尾野真千子;野村周平;大森南朋;丸山智己;伊武雅刀;田畑智子;市川实日子;松重丰;妻夫木聪,剧情;惊悚;犯罪,日本,日语,2016-10-08(釜山电影节);2016-11-12(日本)
滚烫的爱,中野量太,中野量太,宫泽理惠;杉咲花;小田切让;松坂桃李;伊東蒼;筱原友希子;骏河太郎,剧情;家庭,日本,日语,2016-10-07(釜山电影节);2016-10-29(日本)
独家新闻,大根仁,大根仁;原田真人,福山雅治;二阶堂富美;吉田羊;泷藤贤一;中川雅也;斋藤工,剧情,日本,日语,2016-10-01(日本)
甜心战士：眼泪,A.T.;ヒグチリョウ,永井豪,西内まりや;三浦貴大;石田ニコル;高岡奏輔;永瀬匡;今井れん;エリック?ジェイコブセン;深柄比菜;仁科貴;倉野章子;笹野高史;岩城滉一,动作;科幻,日本,日语,2016-10-01(日本)
A片现场不NG2,森川圭,森川圭,森田亚纪;平岛夏海;栗林里莉;川上奈奈美;伊东红;住吉真理子;中原和宏,喜剧;情色,日本,日语,2016-09-24(日本)
爱哭鬼皮埃罗的婚礼,御法川修,田中洋史,志田未来;龙星凉;高橋洋;冈山一;岩橋道子;佐藤恒治;粟田丽;新木优子;萤雪次朗,喜剧,日本,日语,2016-09-24(日本)
樱桃小丸子：来自意大利的少年,高木淳,樱桃子,鳕子;屋良有作;一龙斋贞友;岛田敏;水谷优子;渡边菜生子;中川大志;剧团一人;铃木木瓜;渡边直美;萝拉,剧情;动画,日本,日语,2016-09-23(中国大陆);2015-12-23(日本)
暗金丑岛君3,山口雅俊,福间正浩;山口雅俊,山田孝之;绫野刚;本乡奏多;白石麻衣;笕美和子;最上摩卡;槙田雄司;山田裕贵;前野朋哉;矢野圣人;儿岛一哉;樱由罗;岸井雪乃;水泽绅吾;山下容莉枝;大杉涟;藤森慎吾;浜野谦太;高桥玛莉润;崎本大海;矢部享佑,喜剧,日本,日语,2016-09-22(日本)
真田十勇士 真人版,堤幸彦,牧野希;铃木哲也,中村勘九郎;松坂桃李;大岛优子;永山绚斗;高桥光臣;骏河太郎;村井良大;荒井敦史;望月步;青木健;石垣佑磨;加藤和树;伊武雅刀;佐藤二朗;野添义弘;松平健;大竹忍;加藤雅也,喜剧;动作,日本,日语,2016-09-22(日本)
跨越栅栏,山下敦弘,高田亮;佐藤泰志,小田切让;苍井优;松田翔太;满岛真之介;北村有起哉;优香,剧情;爱情,日本,日语,2016-09-17(日本)
四月是你的谎言,新城毅彦,新川直司;龙居由佳里,广濑铃;山崎贤人;石井杏奈;中川大志;甲本雅裕;本田博太郎;板谷由夏;檀丽,剧情;爱情;音乐,日本,日语,2016-09-10(日本)
苦中带甜的滋味,草野翔吾,大岁伦弘;上田诚;小林ユミヲ,川口春奈;林遣都;渊上泰史;樱田日和;新田真剑佑;大槻一人;中野英雄;石野真子,喜剧;爱情,日本,日语,2016-09-10(日本)
谁的木琴,东阳一,东阳一;井上荒野,常盘贵子;池松壮亮;佐津川爱美;胜村政信;山田真步;岸井雪乃;木村美言;小市慢太郎;细山田隆人;河井青叶;萤雪次朗,剧情,日本,日语,2016-09-10(日本)
永远的托词,西川美和,西川美和,本木雅弘;竹原皮斯托;藤田健心;白鸟玉季;堀内敬子;池松壮亮;黑木华;山田真步;深津绘里;松冈依都美;岩井秀人;康巢恩;户次重幸;渊上泰史;布吉吉;小林胜也,剧情;家庭,日本,日语,2016-09-09(多伦多电影节);2016-10-14(日本)
愚行录,石川庆,向井康介;贯井徳郎,妻夫木聪;满岛光;小出惠介;臼田麻美;市川由衣;松本若菜;中村伦也;真岛秀和;滨田麻里;平田满;松本真里香,剧情;悬疑;犯罪,日本,日语,2016-09-06(威尼斯电影节);2017-02-18(日本)
异邦警察 电影版,熊切和嘉,熊切和嘉;守屋文雄,松田翔太;浜野谦太;须贺健太;柳泽慎吾;安藤樱,惊悚;犯罪,日本,日语,2016-09-03(日本)
明明不喜欢,吉田浩太,吉田浩太,璃子;根岸拓哉;川村亮介,情色,日本,日语,2016-09-03(日本)
寄生兽,山崎贵,岩明均;古泽良太,染谷将太;深津绘里;阿部隆史;桥本爱;东出昌大;岩井秀人;山中崇;池内万作;丰原功补;大森南朋;北村一辉;余贵美子;国村隼;浅野忠信;新井浩文;泷正则,剧情;动作;科幻;恐怖,日本,日语,2016-09-02(中国大陆);2014-11-29(日本)
后妻业之女,鹤桥康夫,黑川博行;鹤桥康夫,大竹忍;丰川悦司;尾野真千子;长谷川京子;水川麻美;风间俊介;余贵美子;米姆拉;松尾谕;笑福亭鹤光;樋井明日香;梶原善;六平直政;森本治行;伊武雅刀;泉谷茂;柄本明;笑福亭鹤瓶;津川雅彦;永濑正敏,悬疑,日本,日语,2016-08-27(日本)
恋妻家宫本,游川和彦,游川和彦;重松清,阿部宽;天海祐希;菅野美穗;相武纱季;工藤阿须加;早见明里;奥贯薫;佐藤二朗;富司纯子;入江甚仪;佐津川爱美;浦上晟周;绀野彩夏;丰岛花;渡边真起子;关户将志;柳百合菜,剧情;喜剧;家庭,日本,日语,2016-08-25(蒙特利尔电影节);2017-01-28(日本)
青空呐喊,三木孝浩,河原和音;持地佑季子,土屋太凤;竹内凉真;叶山奖之;堀井新太;小岛藤子;松井爱莉;平祐奈;山田裕贵;志田未来;上野树里,剧情,日本,日语,2016-08-20(日本)
伤物语2：热血篇,新房昭之;尾石达也,西尾维新,神谷浩史;坂本真绫;堀江由衣;樱井孝宏;入野自由;江原正士;大塚芳忠,喜剧;动作;动画;奇幻,日本,日语,2016-08-19(日本)
真白之恋,坂本欣弘,北川亚矢子,佐藤美雪;高桥真唯;福地佑介;长谷川初范;山口诗史;杉浦文纪;及川奈央;村上刚基;內田桃香;深川格,剧情;爱情,日本,日语,2016-08-18(奈良电影节);2017-02-25(日本)
花芯,安藤寻,濑户内寂听;黑泽久子,村川绘梨;林遣都;安藤政信;藤本泉;落合扶树;奥野瑛太;毬谷友子,剧情;情色,日本,日语,2016-08-06(日本)
黑猫鲁道夫,汤山邦彦;榊原干典,齐藤洋;杉浦范茂;加藤阳一,井上真央;铃木亮平;八岛智人;古田新太;水树奈奈;大塚明夫;寺崎裕香;佐佐木里绪;毒蝮三太夫,喜剧;动画;冒险,日本,日语,2016-08-06(日本)
我被爸爸绑架了,岸善幸,岸善幸,妻夫木聪;丰岛花;木南晴夏;夏帆;新井浩文;室毅;满岛光;八千草薰,剧情;家庭,日本,日语,2016-08-02(日本)
尸体派对2：影之书,山田雅史,,生驹里奈;前田希美;池冈亮介;喜多阳子;ジュン;石川恋;水石亚飞梦;青木玄德,惊悚;恐怖,日本,日语,2016-07-30(日本)
加速世界：无限超频,小原正和,川原礫,三泽纱千香;梶裕贵;丰崎爱生;浅沼晋太郎,动画,日本,日语,2016-07-23(日本)
屋顶的散步者,窪田将治,江户川乱步;窪田将治,木岛法子;间宫夕贵;河合龙之介;草野康太;松本若菜;矢部太郎;柳忧怜;近藤芳正;渊上泰史,剧情;悬疑;惊悚,日本,日语,2016-07-23(日本)
哆啦A梦：新·大雄的日本诞生,八锹新之介,八锹新之介;藤子·F·不二雄,水田山葵;大原惠美;嘉数由美;木村昴;关智一;白石凉子,动画,日本,日语,2016-07-22(中国大陆);2016-03-05(日本)
热血街区电影版,久保茂昭,渡辺啓;平沼纪久,黑泽良平;青柳翔;高谷裕之;岡見勇信;井浦新;田崎敬浩;登坂广臣;岩田刚典;铃木伸之;町田启太;山下健二郎;佐藤宽太;佐藤大树;岩谷翔吾;山本彰吾;黑木启司;远藤雄弥;鬼龍院翔;喜矢武豊;歌広場淳;樽美酒研二;稻叶友;柳俊太郎;山田裕贵;铃木贵之;一ノ瀬ワタル;鈴木昴秀;龍;前田公辉;洼田正孝;永濑匡;佐野玲於;ZEN;林遣都;远藤要;阿部亮平;小澤雄太;ELLY;早乙女太一;大屋夏南;野替愁平;白濱亜嵐;ANARCHY;秋山真太郎;武田航平;中村达也;橘ケンチ;小野塚勇人;松泽一之;西冈德马;小岛藤子;工藤绫乃;枫;佐藤晴美;山口乃乃华;城戸愛莉;八木将康;加藤歩;坂东希;李昇炫;白竜;丰原功补;天野浩成;藤井夏恋;藤井萩花;YOU;小泉今日子,动作,日本,日语,2016-07-16(日本)
